name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,doorWindow,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,facingDisasterProg,handlingSkill,specialBudget,interactionGuide,emergencyResponse,raiseFunds,provideTraining,churchEducation,riskreduction,disasterOccurs,economicDev,buildingCode,trainingNeeds,increaseCapacity,disasterResponseSOP,dataRoutine,evacuationSimulation,preparednessTools,competent,lastUpdate,Gempa,Banjir,KekeRingan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik,evacuationGuidePerson,disasterContactPerson
GKJ Semanu Baru Gunungkidul,Panggul Tengah Candi Rejo Semanu Gunungkidul Yogyakarta,Daerah Istimewa Yogyakarta,-8.0082034,110.6477808,186,Kebebasan Beribadah,Gunung Meletus,Gempa Bumi,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak punya,Tidak,Tidak Ada,Tidak terdampak,Tidak,Punya,Tidak punya,Tidak punya,Punya,Tidak,Tidak,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak pernah,Ya,Ya,Siap,Tidak,Ya,"Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana","Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana",Ya,Tidak Ada,Tidak,Tidak Punya semua,"LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Selasa, 21 september 2021",#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Wonosari Gunungkidul,"Jl. Gereja 11-12 Wonosari, Gunungkidul",Daerah Istimewa Yogyakarta,-7.9651442,110.6004106,2972,Alam kekeRingan,Angin kencang,Konflik sosial,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Punya,Ya,Tidak Ada,Tidak terdampak,Ya,Tidak punya,Tidak punya,Tidak punya,Punya,Ya,Ya,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,Belum pernah,Ya,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Kotak P3K, Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR, PMI",Jumat 1 oktober 2021,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Panggang Gunungkidul,"Jl. Panggang - Wonosari Km 6,5 Mendak, Girisekar, Panggang, Gunungkidul",Daerah Istimewa Yogyakarta,-8.0381367,110.4629397,258,KekeRingan,Wabah penyakit (covid-19),Kebebasan beribadah,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Tidak punya,Belum Teruji,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Ya,Tidak,Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",Tidak,Ya,Sedikit siap,Tidak,Ya,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun",Tidak punya,"BPBD/BNPB, SAR, PMI","Jumat, 2 Oktober 2021",#31AA75,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Temon,"Temon Kulon, Temon, Kulon Progo",Daerah Istimewa Yogyakarta,-7.89756,110.062187,745,banjir,angin topan,gempa bumi,Punya,Punya,Tidak punya,Ya,Ya,Tidak Punya,Belum Teruji,Ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Ya,Ya,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),LSM/NGO,Ya,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19",Tidak,"Rompi, Genset","SAR, PMI, Kelompok masyarakat peduli bencana","Rabu, 15 September 2021",#F7EA00,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Wates,"Jalan Bhayangkara No.3, Terbah, Wates, Kulon Progo",Daerah Istimewa Yogyakarta,-7.8841805,110.0739486,1186,Endemi penyakit,Angin kencang,Gempa bumi,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Tidak Punya,Belum Teruji,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Tidak,Ya,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),PMI/SAR/ Damkar (Pemadam Kebakaran),Ya,Ya,Sedikit siap,Tidak,Ya,Epidemi dan wabah penyakit,Epidemi dan wabah penyakit,Tidak,"Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Lampu senter, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset","BPBD/BNPB, SAR, PMI","Kamis, 16-9-2021",#F7EA00,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Ngentakrejo,"mirisewu,ngentakrejo,lendah,kulon progo",Daerah Istimewa Yogyakarta,-7.8977381,110.266971,250,kekeRingan,gempa bumi,keeusakan lingkungan tambng pasir,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak Punya,Belum Teruji,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),blm pernah mengundang,Ya,Tidak,Tidak siap,Ya,Ya,"Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak,Pendataan penyintas COVID-19,"Ya, > 2 tahun",Genset,"BPBD/BNPB, SAR","jumat,17/09/2021",#FF8E00,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Gowok,"Gowok,Kebonharjo,Samigaluh,Kulon Progo 55673",Daerah Istimewa Yogyakarta,-7.7099517,110.1326464,125,Tanah longsor,KekeRingan,Pandemi,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Tidak punya,Tidak punya,Ya,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),LSM/NGO,Ya,Ya,Sedikit siap,Tidak,Ya,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak,Tidak Ada,"Ya, > 2 tahun",Blm punya,"BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Minggu,19 september 2021",#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Nanggulan,"Janti Lor RT 60 RW 21, Jatisarono, Nanggulan, Kulon Progo",Daerah Istimewa Yogyakarta,-7.769976,110.209807,275,Covid 19,Gempa bumi,Konflik sosial,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Belum Teruji,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Tidak punya,Tidak punya,Punya,Tidak,Tidak,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,BNPB/BPBD,Ya,Ya,Siap,Tidak,Ya,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak,Pendataan penyintas COVID-19,Tidak,Kentongan,"BPBD/BNPB, PMI, Kelompok masyarakat peduli bencana","Minggu, 19 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Samigaluh,"Jl. Samigaluh - Loano, Karang, Gerbosari, Samigaluh, Kabupaten Kulon Progo",Daerah Istimewa Yogyakarta,-7.6718597,110.1493926,65,tanah longsor,kekeRingan,Tidak Ada,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak punya,Belum Teruji,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Tidak punya,Tidak punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),belum pernah,Ya,Ya,Sedikit siap,Tidak,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Alat pengeras suara,"BPBD/BNPB, SAR, PMI","Minggu, 19 September 2021",#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Sentolo,"Jl. A. Yani No. 56 Siwalan, Sentolo, Sentolo, Kulon Progo",Daerah Istimewa Yogyakarta,-7.8430277,110.2161573,408,KekeRingan,Gempa Bumi,Konflik Sosial,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Tidak punya,Tidak,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Tidak,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),"FKUB (Forum Kerukunan Umat Beragama), tidak pernah",Tidak,Tidak,Tidak siap,Tidak,Tidak,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak,Tidak Ada,Tidak,"Alat pengeras suara, Genset","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Kamis, 23/09/2021",#FF8E00,#31AA75,#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Wates Selatan,"Pedukuhan 2 Depok, Depok, Panjatan, Kulon Progo, Yogyakarta",Daerah Istimewa Yogyakarta,-7.9105136,110.1593586,511,Banjir,Tsunami,Gempa bumi,Punya,Punya,Tidak punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Tidak,Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",Tidak,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, PMI, Kelompok masyarakat peduli bencana","Sabtu, 25 September 2021",#F7EA00,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Palihan,"Jln. Dandeles, Temon,  Kulonprogo",Daerah Istimewa Yogyakarta,-7.8950822,110.0533276,700,Tidak Ada,Tidak Ada ,Tidak Ada,Tidak punya,Tidak Punya,Punya,Ya,Ya,Tidak Punya,Belum Teruji,Tidak Ada,Belum pernah,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Klasis,Ya,Tidak,Sedikit siap,Tidak,Ya,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak,Tidak Ada,Tidak,Genset,Pemerintah Desa,"Selasa, 21 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Plono,"Plono Timur, Pagerharjo, Samigaluh, Kulon Progo, DIY, 666573",Daerah Istimewa Yogyakarta,-7.6666766,110.141947,130,alam,non alam,-,Tidak punya,Tidak punya,Tidak Punya,Ya,Ya,Tidak Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Tidak,Ya,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),-,Tidak,Ya,Siap,Tidak,Ya,"Simulasi menghadapi bencana, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Simulasi menghadapi bencana, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak,Pendataan penyintas COVID-19,Tidak,Genset,Kelompok masyarakat peduli bencana,"Jumat, 1 Oktober 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Kalipenten,"Tegowanu, Kaliagung, Sentolo, Kulon Progo, ",Daerah Istimewa Yogyakarta,-7.828535,110.187523,190,Longsor,Pandemi covid 19,Puting beliung,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Tidak punya,Belum Teruji,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Ya,Tidak,Ya,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),TNI/POLRI,Ya,Ya,Sedikit siap,Ya,Ya,Teologi Bencana (Church and Community Transformation Resilience Approach-CCT),Teologi Bencana (Church and Community Transformation Resilience Approach-CCT),Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19",Tidak,Tidak Ada,"BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Rabu, 6 okt 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Ngulakan,"Sindon, Hargorejo Kokap Kulon Progo ",Daerah Istimewa Yogyakarta,-7.868363,110.123667,390,Tanah Longsor,Epidemi,Kebebasan Beribadah,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Ya,Ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Tidak,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)","Ya, 1-2 tahun",Kotak P3K,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Jumat, 1 Oktober 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Minomartani,Jln Bandeng VIII/I Minomartani,Daerah Istimewa Yogyakarta,-7.738251843,110.4082971,463,Tawuran,Gak ada,Gak ada,Tidak Punya,Tidak Punya,Punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Tidak,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Tidak,Tidak,Sedikit siap,Ya,Ya,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)",Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19","Ya, 1-2 tahun","Lampu senter, Kotak P3K, Peralatan balut bidai, Genset","SAR, PMI, Kelompok masyarakat peduli bencana",Rabo 15 September 2021,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ tulung,Tulung tamanmartani kalasan sleman,Daerah Istimewa Yogyakarta,-7.7366172,110.47991,200,alam,non alam,sosial,Punya,Punya,Punya,Ya,Ya,Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,BNPB/BPBD,Ya,Ya,Siap,Ya,Ya,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19","Ya, 1-2 tahun","Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","rabu, 15/09/2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Karangbendo,Jl. Sukun Gg. Kamboja 96 Karangbendo Banguntapan Bantul Yogyakarta 55198,Daerah Istimewa Yogyakarta,-7.785419,110.4113498,565,Gempa Bumi,Covid-19,Angin Topan/Angin Kencang,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Ya,Ringan,Tidak terdampak,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Tidak,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak,Pendataan pekerjaan/kegiatan usaha jemaat,Tidak,"Peluit, Helm, Lampu senter, Rompi, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset","SAR, LSM/NGO Kebencanaan, PMI","Kamis, 16 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
