no,name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,evacuationGuidePerson,lastUpdate,disasterContactPerson,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
15,GKJ Wates,"Jalan Bhayangkara No.3, Terbah, Wates, Kulon Progo",Yogyakarta,-7.8841805,110.0739486,1186,Endemi penyakit,Angin kencang,Gempa bumi,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, tetapi tidak tahu apa yang dilakukan","Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, SAR, PMI","Ya, > 2 tahun","Lampu senter, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Tidak,Ya,"Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",-,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,PMI/SAR/ Damkar (Pemadam Kebakaran),Tidak,Ya,Ya,Sedikit siap,Epidemi dan wabah penyakit,Epidemi dan wabah penyakit,"Punya, tetapi tidak tahu apa yang dilakukan","Kamis, 16-9-2021",Tahu dan bisa mengakses,Yellow,Green,Green,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
16,GKJ Ngentakrejo,"mirisewu,ngentakrejo,lendah,kulon progo",DIY,-7.8977381,110.266971,250,kekeringan,gempa bumi,keeusakan lingkungan tambng pasir,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,ada ditingkat klasis,"BPBD/BNPB, SAR","Ya, > 2 tahun",Genset,Tidak,Ya,Pendataan penyintas COVID-19,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,blm pernah mengundang,Ya,Ya,Tidak,Tidak siap,"Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak punya,"jumat,17/09/2021",Tidak tahu dan tidak bisa mengakses,Orange,Green,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
17,GKJ GOWOK,"Gowok,Kebonharjo,Samigaluh,Kulon Progo 55673",DIY,-7.7099517,110.1326464,125,Tanah longsor,Kekeringan,Pandemi,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, > 2 tahun",Blm punya,Ya,Ya,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak,Ya,Ya,Sedikit siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak punya,"Minggu,19 september 2021",Tahu dan bisa mengakses,Green,Green,Orange,Green,Green,Green,Green,Green,Red,Orange,Green,Orange,Orange
18,GKJ Nanggulan,"Janti Lor RT 60 RW 21, Jatisarono, Nanggulan, Kulon Progo",DI Yogyakarta,-7.769976,110.209807,275,Covid 19,Gempa bumi,Konflik sosial,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, PMI, Kelompok masyarakat peduli bencana",Tidak,Kentongan,Tidak,Tidak,Pendataan penyintas COVID-19,,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,BNPB/BPBD,Tidak,Ya,Ya,Siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak punya,"Minggu, 19 September 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
19,GKJ Samigaluh,"Jl. Samigaluh - Loano, Karang, Gerbosari, Samigaluh, Kabupaten Kulon Progo",Yogyakarta,-7.6718597,110.1493926,65,tanah longsor,kekeringan,tidak ada,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Tidak punya,"Ya, belum teruji",,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,Alat pengeras suara,Tidak,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,belum pernah,Tidak,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana",Tidak punya,"Minggu, 19 September 2021",Tahu dan bisa mengakses,Green,Green,Orange,Green,Green,Green,Green,Green,Red,Orange,Green,Orange,Orange
20,GKJ Sentolo,"Jl. A. Yani No. 56 Siwalan, Sentolo, Sentolo, Kulon Progo",DIY,-7.8430277,110.2161573,408,Kekeringan,Gempa Bumi,Konflik Sosial,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Tidak,Tidak punya,Tidak,,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana",Tidak,"Alat pengeras suara, Genset",Tidak,Tidak,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,"FKUB (Forum Kerukunan Umat Beragama), tidak pernah",Tidak,Tidak,Tidak,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak punya,"Kamis, 23/09/2021",Tidak tahu dan tidak bisa mengakses,Orange,Green,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
21,GKJ Wates Selatan,"Pedukuhan 2 Depok, Depok, Panjatan, Kulon Progo, Yogyakarta",Yogyakarta,-7.9105136,110.1593586,511,Banjir,Tsunami,Gempa bumi,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Insidental (penggalangan dana/persembahan bencana),Ya,Tidak,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",Ya,Tidak,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas","Sabtu, 25 September 2021",Tahu dan bisa mengakses,Yellow,Green,Green,Orange,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
22,GKJ Palihan,"Jln. Dandeles, Temon,  Kulonprogo",DIY,-7.8950822,110.0533276,700,Tidak ada,Tidak ada ,Tidak ada,Tidak punya,"Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",,Belum pernah,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",Pemerintah Desa,Tidak,Genset,Tidak,Ya,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Klasis,Tidak,Ya,Tidak,Sedikit siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Epidemi dan wabah penyakit",Tidak punya,"Selasa, 21 September 2021",Tidak tahu dan tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
23,GKJ PLONO,"Plono Timur, Pagerharjo, Samigaluh, Kulon Progo, DIY, 666573",DIY,-7.6666766,110.141947,130,alam,non alam,-,Tidak punya,Tidak punya,"Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",Kelompok masyarakat peduli bencana,Tidak,Genset,Tidak,Ya,Pendataan penyintas COVID-19,-,insidental,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,-,Tidak,Tidak,Ya,Siap,"Simulasi menghadapi bencana, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Simulasi menghadapi bencana, Interaksi dan konflik sosial, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak punya,"Jumat, 1 Oktober 2021",Tahu tetapi tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
24,GKJ Kalipenten,"Tegowanu, Kaliagung, Sentolo, Kulon Progo, ",DIY,-7.828535,110.187523,190,Longsor,Pandemi covid 19,Puting beliung,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Tidak punya,"Ya, belum teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana",Tidak,Tidak ada,Ikut undangan klasis kulon progo,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19",,Jika dibutuhkan saja,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,TNI/POLRI,Ya,Ya,Ya,Sedikit siap,Teologi Bencana (Church and Community Transformation Resilience Approach-CCT),Teologi Bencana (Church and Community Transformation Resilience Approach-CCT),Tidak punya,"Rabu, 6 okt 2021",BPBD,Green,Green,Green,Green,Green,Green,Green,Green,Red,Orange,Green,Orange,Orange
25,GKJ Ngulakan,"Sindon, Hargorejo Kokap Kulon Progo ",DIY,-7.868363,110.123667,390,Tanah Longsor,Epidemi,Kebebasan Beribadah,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun",Kotak P3K,Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas","Jumat, 1 Oktober 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Red,Orange,Green,Orange,Orange
26,GKJ Minomartani,Jln Bandeng VIII/I Minomartani,Yogyakarta,-7.738251843,110.4082971,463,Tawuran,Gak ada,Gak ada,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, tetapi tidak tahu apa yang dilakukan","Punya, aktif dan selalu meningkatkan kapasitas","SAR, PMI, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Lampu senter, Kotak P3K, Peralatan balut bidai, Genset",Ya,Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Tidak,Sedikit siap,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Punya, tetapi tidak tahu apa yang dilakukan",Rabo 15 September 2021,Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
27,gkj tulung,Tulung tamanmartani kalasan sleman,yogyakarta,-7.7366172,110.47991,200,alam,non alam,sosial,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19",Alam dan sosial,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,BNPB/BPBD,Ya,Ya,Ya,Siap,"Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.)","Punya, aktif dan selalu meningkatkan kapasitas","rabu, 15/09/2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
28,GKJ Karangbendo,Jl. Sukun Gg. Kamboja 96 Karangbendo Banguntapan Bantul Yogyakarta 55198,DIY,-7.785419,110.4113498,565,Gempa Bumi,Covid-19,Angin Topan/Angin Kencang,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","SAR, LSM/NGO Kebencanaan, PMI",Tidak,"Peluit, Helm, Lampu senter, Rompi, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset",Ya,Ya,Pendataan pekerjaan/kegiatan usaha jemaat,,Ya,Alokasi anggaran khusus bencana (diambilkan dari persembahan bulan khusus bencana),Ya,Tidak,"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Punya, aktif dan selalu meningkatkan kapasitas","Kamis, 16 September 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
29,GKJ Tanjungtirto,Kaliajir Kalitirto Berbah Sleman 55573,D.I. Yogyakarta,-7.786966,110.463414,533,angin kencang,gempa bumi,covid,"Punya, tetapi tidak aktif/tidak berfungsi",Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan",PMI,Tidak,"Kotak P3K, Alat pemadam kebakaran, Genset",Ya,Ya,"Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,-,Ya,Tidak,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak punya,"Jumat, 17 Sept 2021",Tahu tetapi tidak bisa mengakses,Orange,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
30,GKJ Ambarrukma,"Jl. Ampel, No. 4, Papringan, Catur Tunggal, Depok, Sleman",DIY,-7.779824,110.39461,1200,Angin puting beliung,Epidemi dan wabah penyakit,Konflik sosial antar kelompok/ antar komunitas masyarakat,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, tetapi tidak tahu apa yang dilakukan","Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Punya, tetapi tidak tahu apa yang dilakukan","Jumat, 17 September 2021",Tahu tetapi tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
31,GKJ Sarimulyo,"Pandega Bakti no 20A, Caturtunggal, Depok, Sleman",D.I. Yogyakarta,-7.7560023,110.3802323,800,wabah pandemi,gunung meletus,terorisme,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, PMI, Universitas/lembaga pendidikan","Ya, 1-2 tahun","Kotak P3K, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, Ambulans",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Ya,Ya,Ya,Sedikit siap,"Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas","Jumat, 17 September 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Green,Orange,Orange
